Time,Plasma_Current (A),Plasma_Density (particlesm3),Plasma_Temperature (K),Fusion_Power (W),ICRH_Power (W),Radiation_Power (W),LHCD_Power (W),NBI_Power (W),Total_Heating_Power (W),Injection_Rate
1,-3.7171612138389114,4.129072913026089e+16,-120936.94589672785,4036.1115913044605,11521.10651666837,-5303.579583386577,-242.0294762549394,-6663.832673339833,4615.2443670735975,0.180199548858209
2,-5.7787327499751395,-1.7497033054211308e+16,-369439.5394418062,2971.7411821553014,-2051.2511886131538,1310.0297233573724,-2440.8973005623,-5160.51245430328,-9652.660943478733,3.3550906151964256e+16
3,-4.0936655348700395,-1.0075263018636692e+16,-326554.41811596823,-5286.653628438619,-19900.58843003039,2447.851166551386,-1247.6259766289397,-5017.91570321373,-26166.130109873062,6.710181230392851e+16
4,-18.748654385427425,-4.157550936412912e+16,117457.83248390509,-5195.254516509336,-6818.296103364344,-2140.7920023363718,6095.665753242976,6475.635090547314,5753.004740425946,1.0065271845589277e+17
5,-4.539795855436383,8.674263136876506e+16,-19288.120600141647,2703.955442339842,-240.10452240743257,900.7245846087453,-600.0264154826756,3119.0149572100986,2278.8840193199903,1.3420362460785702e+17
6,-3.9610787539165258,2.1566020672158584e+16,-89757.57150236155,1193.549902478535,-8715.213297851784,1611.7724498443588,1220.2815703165732,1663.0013389464023,-5831.9303885888085,1.6775453075982128e+17
7,12.652704349267754,1086911292591225.0,-220290.01596211837,-11625.127720713337,1686.6910014472376,1926.444326860957,589.7438117222,5554.829584898056,7831.264398067494,2.0130543691178554e+17
8,-5.97382640827288,6.74682568646749e+16,185064.4916627077,12202.96718405944,-6990.298641216903,-1876.211307846521,1762.857984317882,-1459.3718444398403,-6686.812501338862,2.348563430637498e+17
9,-17.09395390486686,3.4750375959269816e+16,-142874.56805125842,1945.5239222901596,5456.508627073937,-1647.2230047291805,1265.5520303591654,1242.6625153425296,7964.723172775632,2.6840724921571405e+17
10,-1.491576163370497,-2.1779719585098364e+16,-58991.05578998389,13598.482898309156,-3024.636181297823,6850.43264462531,494.0789169880352,5785.553274702749,3254.9960103929616,3.0195815536767834e+17
11,10.692540851021192,8.59683507126705e+16,-35638.66928230352,-10434.609989495972,6964.659885113024,5708.24096176927,3227.0459576190256,-206.83378374911467,9984.872058982935,3.3550906151964256e+17
12,-26.26179893817202,1751686206687288.0,-261147.0352974691,8843.507353747813,1855.3622947512206,975.6746859558161,1260.8431112978978,6651.908305242538,9768.113711291657,3.690599676716068e+17
13,-23.99452610728902,5916698691966173.0,267958.217512677,140.9180630025562,3250.883594948263,67.94725760516246,1394.4615006676308,5870.260012389417,10515.605108005311,4.026108738235711e+17
14,-19.026303943750243,6.217287051177853e+16,289337.10987139866,3379.1874014579507,-4348.035684532591,1789.7473241398088,3642.437021449574,2441.3271288984924,1735.728465815475,4.3616177997553536e+17
15,39.75138935836399,1.0296509766085958e+17,174663.05668564793,2577.2889787382474,-1294.8145232162829,3283.143095976527,-116.73905331715582,3950.9142764764147,2539.360699942976,4.697126861274996e+17
16,8.279313212476245,4.220614627643837e+16,339103.47456415766,7238.824167235498,14263.519403233186,-167.45398199864917,2353.826364499966,369.1211854122646,16986.466953145416,5.032635922794638e+17
17,38.50594079132474,1.201814043037606e+16,187289.66531196082,5623.50363865739,-12231.729874785819,5881.294352592567,918.9155826566695,-5266.19927240016,-16579.01356452931,5.368144984314281e+17
18,6.943803297562636,-1.7102474194011644e+16,-101193.84070907219,6889.0375119275295,-6728.620584198436,5180.520432790078,-1499.8213984421145,798.0591254350319,-7430.382857205518,5.703654045833924e+17
19,-20.845963552325962,-5.663647247717673e+16,267262.83836279437,12432.166522216918,-7942.304434175845,3337.1839054284837,2061.246516055513,1819.1201959709706,-4061.9377221493614,6.039163107353567e+17
20,15.801607968114318,-2.5020583976452068e+16,144248.9670402871,-5829.298171939208,-3281.5108497493898,1616.5235444929222,-329.8196828475777,5290.1233145459255,1678.7927819489582,6.374672168873208e+17
21,11.601219200873555,4.438706743771118e+16,320135.23378418386,11292.911090730726,4584.354571498467,2668.913492044026,2941.025518334026,-1030.1909782785738,6495.189111553918,6.710181230392851e+17
22,24.88192258150605,4.239324525380875e+16,131296.09771756077,10583.903711130082,-4515.024834236922,2950.5137615203726,3715.7042876934875,-506.19664336424216,-1305.5171899076768,7.045690291912494e+17
23,24.39283646283807,-5.781618916229927e+16,31608.38080176701,2475.955571379058,10019.468968763593,-771.0676937960216,1737.6353769494428,129.9234219497796,11887.027767662816,7.381199353432136e+17
24,6.785272461174177,2.138527361910699e+16,-43277.93103074918,8571.904881365861,4819.609890286725,6174.3755756588025,-390.5655141431653,3799.8214218186276,8228.865797962188,7.716708414951779e+17
25,15.04641157795461,-1.085408891030328e+16,302106.8302890761,19204.611999574507,3369.478911932066,1670.5351523985973,260.3425180686031,742.6336658199,4372.455095820569,8.052217476471421e+17
26,43.75576228873392,3.0035342173547816e+16,-111487.16173057092,-9015.701904439009,7500.0036511078415,3175.108778601173,3102.205159543637,-714.3365542183128,9887.872256433166,8.387726537991064e+17
27,30.474772447897916,-2.244089372606895e+16,227434.32767443167,-20349.109412245598,11695.791627246012,9409.535636756962,-313.8253618852932,2610.9592709899744,13992.925536350693,8.723235599510707e+17
28,5.7224780100799135,3.8491438846088056e+16,-15265.037192605116,4317.503244750495,3467.773541958195,1523.733373150926,5232.060007743416,2409.697732902335,11109.531282603944,9.058744661030349e+17
29,23.818404334064624,3.5712300910793084e+16,135131.47867011398,-1673.054514824932,7834.006683702197,1777.2780984670585,2913.162977089163,2360.8135782347586,13107.983239026118,9.394253722549992e+17
30,3.884922498154162,7.397012481318771e+16,154869.92656850864,4425.854945242938,9757.155290881232,177.3288781287947,-1224.0433630709613,9371.734098825558,17904.84602663583,9.729762784069635e+17
31,18.60260920853555,1.8452395760051996e+16,-53986.482037089096,4686.073098028313,1199.4745848817665,3043.8163133434355,2331.7675381853805,900.657564050905,4431.899687118052,1.0065271845589276e+18
32,-0.13725232331596082,1.1180974933751052e+16,473564.61450590927,9214.510310483201,4086.532355382644,-2798.7096353892252,562.9007509520072,2519.0542950709073,7168.487401405559,1.0400780907108919e+18
33,-7.4061683403345775,4.0811901079579624e+16,-148682.36089115278,5552.161569187472,13848.487828370111,-3606.351727043147,6704.917883192891,3431.865657624208,23985.271369187212,1.0736289968628562e+18
34,40.60497822362706,3.2138478078380348e+16,-449511.48083484045,11207.868573093398,9381.717675353444,4276.698705863763,1242.6934688254173,5563.850733893032,16188.261878071893,1.1071799030148205e+18
35,30.23647519150163,-1.467316289256404e+16,86956.91158514388,15434.60113078355,7254.173867663063,605.0371485122735,4072.627777539646,2016.3269720061335,13343.128617208842,1.1407308091667848e+18
36,28.488199264934188,-4.344214437572221e+16,302622.2445922339,9520.342035785387,-3006.0685763171077,-1600.0483671836732,5018.98973719079,1117.087008689116,3130.008169562798,1.174281715318749e+18
37,13.126961459668351,9.061929621387187e+16,292467.7170593603,19619.742340111676,12843.271646317233,3946.062528405826,2142.638804762009,4146.893261377412,19132.803712456654,1.2078326214707133e+18
38,25.784552631885923,6.562449275972548e+16,182415.56402934357,16170.255490093847,3779.890314507456,-305.1503298316684,760.2477550670478,81.23945052526778,4621.377520099772,1.2413835276226775e+18
39,9.851727731810929,-3450495071601456.0,441495.48550718324,24990.97587464558,6900.350958018736,10718.524964781618,2747.8548201922476,7189.6107537266325,16837.816531937617,1.2749344337746417e+18
40,57.966605437395444,3.85057230821718e+16,175262.98513569715,-3083.3009267805537,9154.593497751415,-2727.0655331659154,-117.47562836779207,4432.225220088069,13469.343089471693,1.308485339926606e+18
41,17.299242298178605,5.648774723668717e+16,158665.84764870233,3320.2496872966058,17716.076994785217,310.491185101323,4237.805595558185,6105.812424236784,28059.695014580186,1.3420362460785702e+18
42,22.345104630989436,1.41360518662095e+17,193056.29373179935,9757.337487344648,3933.9870405379543,-565.693741801344,234.28942399395578,-2852.233710447208,1316.0427540847022,1.3755871522305344e+18
43,-6.009931228663691,2.057180993868916e+16,477546.9395512842,5784.030524506745,-249.20175987786388,1830.399385520631,-445.31930086612374,2327.774398380005,1633.2533376360175,1.4091380583824988e+18
44,19.850925862166765,3.823913422751613e+16,513721.1080302118,-10679.182265089235,1998.748372541816,7177.378342783919,569.5797023197674,5364.420460054584,7932.748534916167,1.442688964534463e+18
45,15.413753496253719,1.3958601816131411e+17,372439.3456728451,18980.15929252968,4602.0470341649825,2362.7372812420663,1849.3331625453484,-703.2150084306495,5748.165188279681,1.4762398706864271e+18
46,-13.203261961989728,5.234190642468882e+16,119346.43801421249,15467.270573119975,4815.499537739875,3028.090366847766,1842.488736600141,-3346.04611658085,3311.9421577591665,1.5097907768383916e+18
47,31.911498544657825,5.816626103497029e+16,326491.76565013203,5228.539542149873,11691.25850805628,6037.1165666126835,2500.303414346024,8587.15833916407,22778.720261566377,1.5433416829903557e+18
48,14.83534733355348,-8363338190607664.0,368848.4179071009,12175.102193042352,10945.24558623635,-985.3015047835115,2957.577129274567,2465.6465993497204,16368.469314860637,1.57689258914232e+18
49,12.300357050691765,5.788211535272173e+16,292597.06598321674,6094.4593413885195,7750.761562295838,4635.584756190468,3125.557475634383,3119.732580355353,13996.051618285575,1.6104434952942843e+18
50,15.84903030020391,4.3940481619865896e+16,215677.9886640772,14569.871748623096,8575.429087022154,1986.627313542937,4534.563450018569,3081.99987269087,16191.992409731592,1.6439944014462484e+18
51,36.992769347168874,8.775388503986458e+16,579751.1282624968,7449.904202713796,14493.430540982357,5850.4243098126935,3597.5222582296983,2698.0194149405497,20788.972214152607,1.6775453075982129e+18
52,0.2063556876675925,3.450806716398955e+16,286663.4507274385,4359.875036582673,7429.530381582947,4435.079043079402,81.35170805442704,5025.855176973914,12536.737266611288,1.711096213750177e+18
53,28.886417501786426,4.853971682538459e+16,-131626.62915587693,20119.259584249165,11532.974463184884,9338.088499666355,2610.051109117912,5917.1242595867025,20060.1498318895,1.7446471199021414e+18
54,29.935157976415297,1.4710887618735187e+17,162959.02977037447,9768.556659813905,5239.670301283557,2009.9383333165235,481.5675245809607,10398.775383397302,16120.013209261819,1.7781980260541056e+18
55,34.476572802387736,2.235340196308545e+16,871479.1576876183,14922.99618835128,8564.913070540862,11450.557943062266,3058.2678826801002,4955.506881184062,16578.687834405024,1.8117489322060698e+18
56,58.52876458838988,1.1526017525625438e+17,179188.70828195298,3656.8546777837755,11382.690783955917,6128.889857670723,957.1299294368971,2236.3944558058843,14576.215169198698,1.8452998383580342e+18
57,18.799378705391106,8.150837470840366e+16,252798.30104683977,13981.397887347466,11481.600306986249,3113.236410208797,5775.306598690122,6625.744930991981,23882.651836668352,1.8788507445099983e+18
58,2.7535001011483757,8.779217980123666e+16,291083.3115310893,3284.9552374204486,-3419.1454721409154,3707.4813762657423,4568.2039424652385,7051.617468610257,8200.67593893458,1.9124016506619625e+18
59,-2.0103488665811753,5895966145805080.0,136051.6251037982,18905.882964753353,3390.2032130422413,1046.9259466284093,4517.506250368621,7688.904841569918,15596.61430498078,1.945952556813927e+18
60,21.30649937511015,5.150236630136049e+16,588480.7190126639,8241.372818792554,3663.1108239381447,3747.8070716250677,-317.2064468584558,4569.476586972672,7915.3809640523605,1.979503462965891e+18
61,14.943225834855822,6.966535189183517e+16,828853.4092739157,17922.79126335169,16309.220929644302,5404.116716857909,5344.739120053026,4515.689899951982,26169.649949649312,2.0130543691178552e+18
62,25.433070834299016,7.416084387605243e+16,275516.81268391875,24019.52553207245,12521.858310215728,90.35221150496,3305.7131946999125,9216.511788474028,25044.083293389667,2.0466052752698196e+18
63,22.025218898112126,4.947554264343237e+16,305758.91907333396,2842.866604958592,13033.214900500401,1298.8542084946375,-2126.1045541114277,3595.415603011533,14502.525949400508,2.0801561814217838e+18
64,37.178463876152875,7.128758944558484e+16,137755.86490892043,2428.8756691662365,5980.043957049852,7939.525600532817,6248.384868339113,6730.207645276404,18958.63647066537,2.1137070875737482e+18
65,31.739544734038454,5.104048957710504e+16,452659.02742109547,19444.892737615475,14179.222440381996,2705.265766549923,5626.200842964829,11164.308003374332,30969.731286721155,2.1472579937257124e+18
66,32.20788632951149,8.716786392893304e+16,609749.9486673907,12617.11920845621,-1052.6989445145246,8942.098278085416,3698.650925770797,5245.255385420103,7891.207366676375,2.1808088998776765e+18
67,16.585510313826575,1.3029549431703702e+17,202450.44950863518,19785.479556873925,17096.650109475442,4429.621149287698,2982.8168371599068,1190.4991265653052,21269.966073200652,2.214359806029641e+18
68,31.01356848057157,6.696087432989656e+16,450208.835714282,13750.908826565712,11764.785761968253,8912.627050306854,-1.4078144341879124,8940.872728527014,20704.250676061078,2.247910712181605e+18
69,33.04910872633364,7.401631934078981e+16,260770.60668006184,13277.167219025085,9150.605016124853,1506.7675017985293,6471.5021979050725,7475.762840183817,23097.870054213745,2.2814616183335695e+18
70,59.3085512282361,7.640977702068293e+16,-66165.87096205202,5337.035660420717,13931.174484716586,6234.769264047602,4287.8490908795675,10370.048089378472,28589.071664974625,2.3150125244855337e+18
71,34.967243976344676,5.805754552163957e+16,209282.54700884124,9767.13155749027,10515.2795784394,3350.9847848976024,4278.787230399177,6855.43942007755,21649.50622891613,2.348563430637498e+18
72,45.44106758031751,1.029483071790193e+17,401524.6101597213,11868.755297726757,-3185.780318275094,7779.228995453383,1314.874538613593,10662.572710078908,8791.666930417407,2.382114336789462e+18
73,30.47426559902886,1.5271944820389357e+17,363824.46342836675,6812.218012154444,8692.01353213722,3457.207495099376,5683.6990315231915,9409.3680958602,23785.08065952061,2.4156652429414267e+18
74,8.42532709761884,9.682150213118698e+16,437387.28582193604,8445.59612725607,12553.45058184526,2017.1990885934906,5196.137117056499,3908.2084614762407,21657.796160378,2.449216149093391e+18
75,18.158425935787726,2.728868430526457e+16,473931.7130213789,10688.747068569079,9885.411628432877,10790.882294291598,6902.304795634202,7820.093587791351,24607.81001185843,2.482767055245355e+18
76,18.617058058169246,1.2469416018603003e+17,417896.755246998,7329.678851033383,6564.826292653487,3913.074477385421,5472.220870920921,5482.0819524651015,17519.12911603951,2.516317961397319e+18
77,28.555843243083746,1.3064026972026032e+16,395288.67052684014,8065.6346984490865,14016.162085228465,3475.9837732688147,3672.8817641617466,333.9420733057159,18022.985922695927,2.5498688675492833e+18
78,28.52683543870822,1.0548083779510029e+17,518565.3568282395,11968.112721940142,4830.332083749768,8849.686365448484,450.4148969390503,3564.0280732344722,8844.775053923291,2.5834197737012475e+18
79,-1.8088380029551736,2.5050976352722456e+16,459669.65982014424,-3288.646483223405,13891.841724894326,8597.81922056279,2578.613178336345,8138.671043636745,24609.125946867418,2.616970679853212e+18
80,9.757261833878655,9.606440648655315e+16,718900.7784984037,18929.786316174384,18595.277755092007,-483.0804604312207,84.21663850032746,4779.91041962292,23459.404813215253,2.6505215860051763e+18
81,22.615576434036374,1.63030584476588e+17,449553.71481491585,33004.29478409237,8553.98776923386,3305.7045634285396,3903.4570333968372,5288.448436168002,17745.8932387987,2.6840724921571405e+18
82,22.18687471188058,6.013201778349112e+16,230399.15606194135,22081.02503759239,11466.473766261008,5354.336199406321,1803.7453531525189,8790.810598049891,22061.029717463418,2.7176233983091046e+18
83,31.38724975809163,1.079417763944809e+17,502071.768617271,24665.6226320017,17764.101590074068,5689.308061786607,3014.501920351743,5572.0835919126985,26350.68710233851,2.751174304461069e+18
84,15.832663012688176,6.377592130297071e+16,445155.9224130465,29818.60680461684,16688.588258753905,3332.1219378781466,5450.067734483231,14211.376535476877,36350.032528714015,2.7847252106130335e+18
